hsa-mir-552-5p,neoplasms [unspecific]
hsa-mir-25-5p,melanoma
hsa-mir-145-5p,aortic aneurysm
hsa-mir-18b-5p,preeclampsia
hsa-mir-146a-5p,"lymphoma, large b-cell"
hsa-mir-29c-5p,"carcinoma, hepatocellular"
hsa-mir-28-5p,asthma
hsa-mir-7-5p,neoplasms [unspecific]
hsa-mir-19a-5p,myeloma
hsa-mir-24-3p,osteomyelitis
hsa-mir-299-5p,"carcinoma, hepatocellular"
hsa-mir-191-5p,hiv-associated lipodystrophy
hsa-mir-429,glioblastoma
hsa-mir-7-5p,endocrine gland neoplasms
hsa-mir-30d-5p,lupus vulgaris
hsa-mir-31-5p,ovarian neoplasms
hsa-mir-92a-3p,colon neoplasms
hsa-mir-130b-5p,"carcinoma, ovarian"
hsa-mir-155-5p,kidney neoplasms
hsa-let-7a-5p,psoriasis
hsa-mir-125b-5p,liver diseases [unspecific]
hsa-mir-27b-5p,"leukemia, myeloid"
hsa-mir-26a-5p,"adenocarcinoma, colon"
hsa-mir-3185,chordoma
hsa-mir-181b-2-3p,"cardiomyopathy, hypertrophic"
hsa-mir-127-5p,inflammation
hsa-mir-143-5p,esophageal neoplasms
hsa-mir-761,"carcinoma, hepatocellular"
hsa-mir-204-5p,"carcinoma, renal cell"
hsa-mir-944,urinary bladder cancer
hsa-mir-4778-5p,diabetic nephropathy
hsa-mir-744-5p,breast cancer
hsa-mir-146b-5p,diabetic retinopathy
hsa-mir-1323,"carcinoma, nasopharyngeal"
hsa-mir-371a-5p,testicular germ cell tumor
hsa-mir-107,gastric neoplasms
hsa-mir-29b-2-5p,hepatitis c virus infection
hsa-mir-551a,gastric neoplasms
hsa-mir-28-5p,"carcinoma, adrenocortical"
hsa-mir-223-5p,systemic lupus erythematosus
hsa-mir-106a-5p,neoplasms [unspecific]
hsa-mir-183-5p,"adenocarcinoma, lung"
hsa-mir-493-5p,breast cancer
hsa-mir-384,osteoarthritis
hsa-mir-30a-5p,nephrotic syndrome
hsa-let-7b-5p,"carcinoma, oral"
hsa-mir-199a-5p,"carcinoma, colon"
hsa-mir-93-5p,colorectal carcinoma
hsa-mir-101-2-5p,glioblastoma
hsa-mir-497-5p,diabetes mellitus
hsa-mir-129-1-3p,"scleroderma, systemic"
hsa-mir-141-5p,glioma
hsa-mir-135b-5p,"carcinoma, cervical"
hsa-mir-760,"carcinoma, hepatocellular"
hsa-mir-138-5p,psoriasis
hsa-mir-19b-1-5p,"leukemia, myeloid, acute"
hsa-let-7e-5p,retinoblastoma
hsa-let-7b-5p,gastric neoplasms
hsa-mir-411-5p,"adenocarcinoma, lung"
hsa-mir-1-3p,acute heart failure
hsa-mir-449b-5p,prostate neoplasms
hsa-mir-18a-5p,endomyocardial fibrosis
hsa-mir-122-5p,hellp syndrome
hsa-mir-381-5p,systemic mastocytosis
hsa-mir-29b-3p,peritoneal dialysis failure
hsa-mir-93-5p,barrett esophagus
hsa-mir-605-5p,intrahepatic cholangiocarcinoma
hsa-mir-506-5p,gastric neoplasms
hsa-mir-214-5p,colorectal carcinoma
hsa-mir-206,amyotrophic lateral sclerosis
hsa-mir-138-5p,laryngeal neoplasms
hsa-mir-99a-5p,synovial sarcoma
hsa-mir-517a-3p,melanoma
hsa-mir-340-5p,neuroblastoma
hsa-mir-222-5p,melanoma
hsa-mir-132-5p,prostate neoplasms
hsa-mir-182-5p,"adenocarcinoma, lung"
hsa-mir-638,chikungunya virus infection
hsa-mir-140-5p,biliary tract neoplasms
hsa-mir-325,pelvic inflammatory disease
hsa-mir-519e-5p,"carcinoma, hepatocellular"
hsa-mir-183-5p,kidney neoplasms
hsa-mir-383-5p,breast cancer
hsa-mir-200b-5p,acute kidney failure
hsa-mir-10b-5p,"adenocarcinoma, endometrial"
hsa-mir-328-5p,breast cancer
hsa-mir-223-5p,barrett esophagus
hsa-mir-21-5p,autoimmune hepatitis
hsa-mir-30d-5p,glaucoma
hsa-mir-126-5p,liver neoplasms
hsa-mir-130a-5p,pulmonary hypertension
hsa-mir-17-5p,"carcinoma, basal cell"
hsa-mir-19b-1-5p,antiphospholipid syndrome
hsa-mir-145-5p,preterm labor
hsa-mir-195-5p,"carcinoma, lung, non-small-cell"
hsa-mir-9-5p,melanoma
hsa-let-7a-5p,colon neoplasms
hsa-mir-133a-5p,sepsis
hsa-mir-128-3p,alzheimer disease
hsa-mir-422a,"carcinoma, hepatocellular"
hsa-mir-144-5p,prolactinoma
hsa-mir-33a-5p,"carcinoma, cervical"
hsa-mir-223-5p,heart failure
hsa-mir-4317,gastric neoplasms
hsa-mir-16-2-3p,myelodysplastic syndromes
hsa-mir-16-1-3p,"fatty liver, alcoholic"
hsa-mir-26a-5p,acute kidney failure
hsa-mir-196a-5p,pancreatic neoplasms
hsa-mir-182-5p,pain
hsa-mir-148a-5p,muscular dystrophy
hsa-mir-191-5p,vulvar squamous tumor
hsa-mir-943,"carcinoma, hepatocellular"
hsa-mir-20b-5p,bladder neoplasms
hsa-mir-132-5p,"carcinoma, pancreatic"
hsa-mir-205-5p,"adenocarcinoma, lung"
hsa-mir-371a-5p,azoospermia
hsa-mir-582-5p,"carcinoma, hepatocellular"
hsa-mir-185-5p,digeorge syndrome
hsa-mir-214-5p,"diabetes mellitus, type 2"
hsa-mir-378e,"carcinoma, renal cell"
hsa-mir-183-5p,breast cancer
hsa-mir-193a-5p,rhabdoid cancer
hsa-mir-590-5p,kidney neoplasms
hsa-mir-192-5p,systemic lupus erythematosus
hsa-mir-155-5p,intracerebral hemorrhage
hsa-mir-135b-5p,gastric neoplasms
hsa-mir-449c-5p,"carcinoma, gastric"
hsa-mir-1270,inflammation
hsa-mir-214-5p,esophageal neoplasms
hsa-mir-195-5p,"cardiomyopathy, hypertrophic"
hsa-mir-16-5p,colorectal carcinoma
hsa-mir-205-5p,"carcinoma, nasopharyngeal"
hsa-mir-183-5p,"carcinoma, tounge"
hsa-mir-375-5p,barrett esophagus
hsa-mir-122-5p,schizophrenia
hsa-mir-210-5p,systemic lupus erythematosus
hsa-let-7b-5p,kaposi sarcoma
hsa-mir-20b-5p,"fatty liver, non-alcoholic"
hsa-mir-7847-3p,breast cancer
hsa-mir-210-5p,"carcinoma, adrenocortical"
hsa-mir-375-5p,prostate neoplasms
hsa-mir-449b-5p,endometriosis
hsa-mir-128-1-5p,glioma
hsa-mir-4721,immune thrombocytopenic purpura
hsa-mir-192-5p,muscular dystrophy
hsa-mir-29a-5p,"lymphoma, burkitt"
hsa-mir-27b-5p,breast cancer
hsa-mir-200c-5p,ovarian neoplasms
hsa-mir-1297,"carcinoma, hepatocellular"
hsa-mir-24-3p,muscle diseases [unspecific]
hsa-mir-200a-5p,gastrointestinal neoplasms
hsa-mir-183-5p,esophageal neoplasms
hsa-mir-4666a-5p,atrial fibrillation
hsa-mir-146a-5p,multiple sclerosis
hsa-mir-29c-5p,diabetes mellitus
hsa-mir-27a-5p,rectal neoplasms
hsa-mir-18a-5p,hematologic neoplasms
hsa-mir-17-5p,polycystic kidney disease
hsa-mir-452-5p,melanoma
hsa-mir-155-5p,bladder neoplasms
hsa-mir-181a-2-3p,preeclampsia
hsa-mir-98-5p,rheumatoid arthritis
hsa-mir-29b-3p,"squamous cell carcinoma, tongue"
hsa-let-7c-5p,"leukemia, promyelocytic, acute"
hsa-mir-200b-5p,liver neoplasms
hsa-mir-20a-5p,colorectal carcinoma
hsa-mir-302b-5p,thyroid neoplasms
hsa-mir-29a-5p,endocrine gland neoplasms
hsa-mir-320a-5p,"carcinoma, hepatocellular"
hsa-mir-128-1-5p,neuroblastoma
hsa-mir-671-5p,lung neoplasms
hsa-mir-210-5p,obesity
hsa-mir-29c-5p,prostate neoplasms
hsa-mir-30c-1-3p,endometrial neoplasms
hsa-mir-1281,ovarian neoplasms
hsa-mir-221-5p,muscular dystrophy
hsa-mir-410-5p,lung fibrosis
hsa-let-7i-5p,breast cancer
hsa-mir-34b-5p,neuroblastoma
hsa-mir-192-5p,"diabetes mellitus, type 1"
hsa-mir-192-5p,hirschsprung disease
hsa-mir-106a-5p,"carcinoma, rectal"
hsa-mir-106b-5p,"carcinoma, endometrial"
hsa-let-7c-5p,retinoblastoma
hsa-mir-5010-5p,alzheimer disease
hsa-mir-146a-5p,"lymphoma, t-cell"
hsa-mir-31-5p,barrett esophagus
hsa-mir-212-5p,habitual abortion
hsa-mir-217-5p,cardiac myxoma
hsa-mir-99a-5p,atherosclerosis
hsa-mir-451b,pancreatic neoplasms
hsa-mir-181d-5p,"carcinoma, basal cell"
hsa-mir-132-5p,colon neoplasms
hsa-mir-31-5p,"carcinoma, esophageal"
hsa-mir-494-5p,lymphoma
hsa-mir-302d-5p,germ cell tumor
hsa-mir-19b-3p,medulloblastoma
hsa-mir-1260a,glioblastoma
hsa-mir-1236-5p,"carcinoma, lung"
hsa-mir-613,osteosarcoma
hsa-mir-7-5p,"carcinoma, thyroid, papillary"
hsa-mir-92a-1-5p,retinoblastoma
hsa-mir-23a-5p,multiple myeloma
hsa-mir-374b-5p,hiv-associated lipodystrophy
hsa-mir-320a-5p,"carcinoma, renal cell"
hsa-mir-24-3p,acute erythroid leukemia
hsa-mir-27a-5p,bladder neoplasms
hsa-mir-29a-5p,"leukemia, lymphoblastic"
hsa-mir-196b-5p,lung neoplasms
hsa-mir-296-5p,breast cancer
hsa-mir-184,lung neoplasms
hsa-mir-153-3p,parkinson disease
hsa-mir-340-5p,heart failure
hsa-mir-143-5p,breast cancer
hsa-mir-507,neoplasms [unspecific]
hsa-mir-34c-5p,prostate neoplasms
hsa-mir-1247-5p,glioblastoma
hsa-mir-320a-5p,osteoporosis
hsa-mir-142-5p,hepatitis c virus infection
hsa-mir-106a-5p,myocardial infarction
hsa-mir-139-5p,gastric neoplasms
hsa-mir-503-5p,diabetes mellitus
hsa-mir-98-5p,kaposi sarcoma
hsa-mir-455-5p,"carcinoma, renal cell"
hsa-mir-214-5p,hiv-associated lipodystrophy
hsa-mir-126-5p,vasomotor rhinitis
hsa-mir-204-5p,prostate neoplasms
hsa-mir-138-5p,prostate neoplasms
hsa-mir-30c-2-3p,prostate neoplasms
hsa-mir-29a-5p,hepatitis b virus infection
hsa-mir-197-5p,"fibromatosis, aggressive"
hsa-mir-30c-2-3p,neoplasms [unspecific]
hsa-mir-202-5p,"carcinoma, hepatocellular"
hsa-mir-133a-5p,arrhythmia
hsa-mir-101-5p,gastrointestinal neoplasms
hsa-mir-206,"carcinoma, hepatocellular"
hsa-mir-202-5p,endometriosis
hsa-mir-29a-5p,"cardiomyopathy, hypertrophic"
hsa-mir-940,ovarian neoplasms
hsa-mir-302d-5p,ovarian neoplasms
hsa-mir-101-5p,"carcinoma, nasopharyngeal"
hsa-mir-15a-5p,"leukemia, myeloid, acute"
hsa-mir-151a-5p,"adenocarcinoma, endometrial"
hsa-mir-122-5p,liver diseases [unspecific]
hsa-mir-411-5p,"carcinoma, bladder"
hsa-let-7d-5p,hyperactivity disorder
hsa-mir-642a-5p,urinary bladder cancer
hsa-mir-200a-5p,pterygium
hsa-mir-29a-5p,"fatty liver, non-alcoholic"
hsa-mir-34c-5p,leukemia
hsa-mir-150-5p,fever
hsa-mir-155-5p,"adenocarcinoma, endometrial"
hsa-mir-106a-5p,parkinson disease
hsa-mir-204-5p,lymphoma
hsa-mir-3142,colorectal carcinoma
hsa-mir-146a-5p,alcohol use disorder
hsa-mir-149-5p,kaposi sarcoma
hsa-mir-222-5p,liver neoplasms
hsa-mir-155-5p,fungal keratitis
hsa-mir-15a-5p,premature ovarian failure
hsa-mir-10b-5p,pituitary adenoma
hsa-let-7b-5p,crohn disease
hsa-mir-33a-5p,obesity
hsa-mir-185-5p,idiopathic short stature
hsa-mir-107,traumatic brain injury
hsa-mir-150-5p,melanoma
hsa-mir-663a,"carcinoma, gallbladder"
hsa-mir-23b-5p,hepatitis c virus infection
hsa-mir-500a-5p,lupus vulgaris
hsa-let-7e-5p,"stroke, ischemic"
hsa-mir-223-5p,"adenocarcinoma, colon"
hsa-mir-495-5p,muscle atrophy
hsa-let-7d-5p,"lymphoma, primary effusion"
hsa-mir-10b-5p,gastric neoplasms
hsa-mir-625-5p,neoplasms [unspecific]
hsa-mir-639,bladder neoplasms
hsa-mir-369-5p,colorectal carcinoma
hsa-mir-210-5p,breast cancer
hsa-mir-142-5p,"lymphoma, t-cell"
hsa-mir-589-5p,gastric neoplasms
hsa-mir-363-5p,gastric neoplasms
hsa-let-7b-5p,macular degeneration
hsa-mir-130b-5p,lung neoplasms
hsa-mir-9-5p,"carcinoma, cervical"
hsa-mir-1179,prostate neoplasms
hsa-mir-204-5p,kidney injury
hsa-let-7b-5p,primary biliary cirrhosis
hsa-mir-3677-5p,prostate neoplasms
hsa-mir-214-5p,diabetes mellitus
hsa-mir-181a-5p,gastric neoplasms
hsa-mir-146a-5p,cor pulmonale
hsa-mir-155-5p,allergic rhinitis
hsa-mir-92a-3p,"leukemia, promyelocytic, acute"
hsa-mir-543,parkinson disease
hsa-mir-125a-5p,pancreatic neoplasms
hsa-mir-425-5p,"leukemia, lymphoblastic"
hsa-mir-574-5p,"carcinoma, hepatocellular"
hsa-mir-126-5p,"squamous cell carcinoma, oral"
hsa-mir-520h,gout
hsa-mir-378a-5p,myelodysplastic syndromes
hsa-mir-96-5p,"carcinoma, lung, non-small-cell"
hsa-mir-24-3p,irritable bowel syndrome
hsa-mir-4326,lung neoplasms
hsa-mir-130b-5p,pancreatic neoplasms
hsa-mir-4697-5p,gastric neoplasms
hsa-mir-20a-5p,lung injury [unspecific]
hsa-mir-125b-2-3p,rectal neoplasms
hsa-mir-1827,medulloblastoma
hsa-mir-34a-5p,osteosarcoma
hsa-mir-195-5p,thyroid neoplasms
hsa-mir-19b-3p,breast cancer
hsa-mir-526b-5p,"carcinoma, gastric"
hsa-mir-652-5p,acute coronary syndrome
hsa-mir-21-5p,acute coronary syndrome
hsa-mir-23a-5p,"carcinoma, nasopharyngeal"
hsa-mir-133a-5p,aortic stenosis
hsa-mir-592,breast cancer
hsa-mir-373-5p,"carcinoma, ovarian"
hsa-mir-34c-5p,neuroblastoma
hsa-mir-126-5p,"leukemia, lymphoblastic"
hsa-mir-29a-5p,heart failure
hsa-mir-429,"carcinoma, lung, non-small-cell"
hsa-mir-374a-5p,"carcinoma, hepatocellular"
hsa-mir-127-5p,kidney injury
hsa-mir-517a-3p,prostate neoplasms
hsa-mir-212-5p,psychotic disorders
hsa-mir-99a-5p,"carcinoma, hepatocellular"
hsa-mir-410-5p,"stroke, ischemic"
hsa-mir-221-5p,squamous cell carcinoma
hsa-mir-629-5p,lymphoma
hsa-mir-221-5p,medulloblastoma
hsa-mir-100-5p,pancreatic neoplasms
hsa-mir-577,osteoarthritis
hsa-mir-25-5p,behcet disease
hsa-mir-96-5p,"carcinoma, colon"
hsa-mir-106b-5p,mitochondrial metabolism disease
hsa-mir-424-5p,breast cancer
hsa-mir-200b-5p,"carcinoma, lung, non-small-cell"
hsa-mir-296-5p,neoplasms [unspecific]
hsa-mir-122-5p,lung neoplasms
hsa-mir-543,esophageal neoplasms
hsa-let-7e-5p,"colitis, ulcerative"
hsa-mir-885-5p,prostate neoplasms
hsa-mir-200b-5p,barrett esophagus
hsa-mir-125a-5p,gastric neoplasms
hsa-mir-16-2-3p,gastric neoplasms
hsa-let-7i-5p,"carcinoma, nasopharyngeal"
hsa-mir-34a-5p,bladder neoplasms
hsa-mir-24-3p,"lymphoma, hodgkin"
hsa-mir-410-5p,lung neoplasms
hsa-mir-621,breast cancer
hsa-mir-23b-5p,"carcinoma, adrenocortical"
hsa-mir-27a-5p,prostate neoplasms
hsa-mir-26a-1-3p,nasopharyngeal neoplasms
hsa-mir-122-5p,acute coronary syndrome
hsa-mir-214-5p,human papilloma virus infection
hsa-mir-125b-5p,uveal melanoma
hsa-mir-520b-5p,endometriosis
hsa-mir-15b-5p,amyotrophic lateral sclerosis
hsa-mir-93-5p,"lymphoma, t-cell"
hsa-mir-454-5p,kidney neoplasms
hsa-mir-488-5p,gastric neoplasms
hsa-mir-30e-5p,"carcinoma, hepatocellular"
hsa-mir-15a-5p,"carcinoma, cervical"
hsa-mir-3149,prostate neoplasms
hsa-mir-222-5p,polycythemia vera
hsa-mir-1255a,stroke
hsa-mir-222-5p,hematologic neoplasms
hsa-mir-22-5p,premature ovarian failure
hsa-mir-675-5p,eosinophilic esophagitis
hsa-mir-31-5p,"colitis, ulcerative"
hsa-mir-138-5p,breast cancer
hsa-mir-125b-5p,"leukemia, myeloid"
hsa-mir-7-5p,aniridia
hsa-mir-122-5p,thyroid neoplasms
hsa-mir-21-5p,epilepsy
hsa-mir-29b-3p,cardiac fibrosis
hsa-mir-1-3p,"carcinoma, skin"
hsa-mir-27b-5p,traumatic brain injury
hsa-mir-628-5p,colorectal carcinoma
hsa-mir-3195,traumatic brain injury
hsa-mir-210-5p,hepatoblastoma
hsa-mir-200c-5p,inflammatory bowel diseases
hsa-mir-106b-5p,osteosarcoma
hsa-mir-105-5p,neoplasms [unspecific]
hsa-mir-32-5p,"squamous cell carcinoma, oral"
hsa-mir-19a-5p,"leukemia, lymphoblastic, acute"
hsa-mir-504-5p,glioblastoma
hsa-mir-429,urinary bladder cancer
hsa-mir-155-5p,acute myocardial infarction
hsa-mir-196b-5p,"leukemia, lymphoblastic, acute"
hsa-mir-662,lupus vulgaris
hsa-mir-15b-5p,peritoneal dialysis failure
hsa-mir-155-5p,"carcinoma, cervical"
hsa-mir-625-5p,pancreatic neoplasms
hsa-mir-765,breast cancer
hsa-mir-630,neoplasms [unspecific]
hsa-mir-432-5p,schizophrenia
hsa-mir-603,colorectal carcinoma
hsa-mir-92a-1-5p,prostate neoplasms
hsa-mir-1246,down syndrome
hsa-mir-324-5p,hemophilus influenzae infection
hsa-mir-218-5p,astrocytoma
hsa-mir-492,"carcinoma, hepatocellular"
hsa-mir-200a-5p,alzheimer disease
hsa-mir-26a-5p,viral infectious disease
hsa-mir-18a-5p,"carcinoma, lung, non-small-cell"
hsa-mir-155-5p,diabetic peripheral neuropathy
hsa-mir-15b-5p,brain disease [unspecific]
hsa-mir-519d-5p,breast cancer
hsa-mir-598-5p,crohn colitis
hsa-mir-204-5p,neoplasms [unspecific]
hsa-mir-324-5p,breast cancer
hsa-mir-194-5p,spinal cord injuries
hsa-mir-223-5p,ovarian neoplasms
hsa-mir-608,"carcinoma, hepatocellular"
hsa-mir-182-5p,hepatitis c virus infection
hsa-mir-520a-5p,hepatitis b virus infection
hsa-mir-126-5p,"leukemia, b-cell"
hsa-mir-98-5p,endomyocardial fibrosis
hsa-mir-132-5p,hypertension
hsa-mir-19a-5p,prostate neoplasms
hsa-mir-18b-5p,gastrointestinal neoplasms
hsa-mir-26b-5p,"carcinoma, cervical"
hsa-mir-19a-5p,allergic rhinitis
hsa-mir-93-5p,brain neoplasms
hsa-mir-200b-5p,"carcinoma, lung"
hsa-let-7d-5p,neoplasms [unspecific]
hsa-mir-200a-5p,lung neoplasms
hsa-mir-182-5p,"carcinoma, thyroid, medullary"
hsa-mir-29c-5p,glaucoma
hsa-mir-342-5p,"colitis, ulcerative"
hsa-mir-194-5p,squamous cell carcinoma
hsa-mir-144-5p,coronary artery disease
hsa-mir-376a-5p,ovarian neoplasms
hsa-mir-130a-5p,prostate neoplasms
hsa-mir-4739,diabetic nephropathy
hsa-mir-32-5p,viral infectious disease
hsa-mir-7-5p,lung fibrosis
hsa-mir-195-5p,schizophrenia
hsa-mir-371a-5p,"carcinoma, nasopharyngeal"
hsa-mir-18a-5p,allergic rhinitis
hsa-mir-10b-5p,"carcinoma, thyroid, anaplastic"
hsa-mir-191-5p,thyroid neoplasms
hsa-mir-200b-5p,hepatitis c virus infection
hsa-mir-876-5p,"carcinoma, hepatocellular"
hsa-mir-146a-5p,amyotrophic lateral sclerosis
hsa-mir-494-5p,intervertebral disc degeneration
hsa-mir-218-5p,acute ischemic stroke
hsa-mir-26b-5p,polycythemia vera
hsa-mir-125b-5p,psoriasis
hsa-mir-147b-5p,"lymphoma, large b-cell, diffuse"
hsa-mir-20b-5p,glioblastoma
hsa-mir-92a-1-5p,pancreatic neoplasms
hsa-mir-221-5p,prostate neoplasms
hsa-mir-376a-5p,"carcinoma, ovarian"
hsa-mir-1303,gastric neoplasms
hsa-mir-340-5p,lung neoplasms
hsa-mir-181c-5p,"leukemia, lymphoblastic"
hsa-mir-29a-5p,alzheimer disease
hsa-mir-211-5p,aortic stenosis
hsa-mir-192-5p,"squamous cell carcinoma, lung"
hsa-mir-449c-5p,gastric neoplasms
hsa-mir-323a-5p,friedreich ataxia
hsa-mir-200a-5p,"diabetes mellitus, type 1"
hsa-mir-204-5p,"carcinoma, nasopharyngeal"
hsa-mir-4454,bladder neoplasms
hsa-mir-206,"muscular dystrophy, duchenne"
hsa-mir-3909,rheumatic heart diseases
hsa-mir-31-5p,celiac disease
